Timestamp;Date time;ccseCO2;ccsTVOC;scdCO2;scdTEMP;scdHUMID;H2S_concentration;H2S_boardtemp;NH3_concentration;NH3_boardtemp;CH4ppm;CH4RAWppm;HCHOmg/m3;TVOCppm
1719334802140;2024-06-26 00:00:02;400;0;464;29.23934937;89.8147583;0;31.86831856;2.317328691;32.30651093;0;22.27791405;;
1719334882077;2024-06-26 00:01:22;400;0;471;29.19662476;89.77050781;0;31.86831856;2.317328691;32.30651093;0;21.56724739;;
1719334962023;2024-06-26 00:02:42;400;0;474;29.20463562;89.86053467;0;31.86831856;2.317328691;32.30651093;0;21.51467705;;
1719335041977;2024-06-26 00:04:01;400;0;460;29.19128418;89.85137939;0;31.97766304;1.521188021;32.30651093;0;21.84415817;;
1719335121916;2024-06-26 00:05:21;400;0;466;29.18327332;89.96887207;0;31.86831856;2.317328691;32.30651093;0;21.91151428;;
1719335201849;2024-06-26 00:06:41;400;0;475;29.23667908;89.99328613;0;31.86831856;2.317328691;32.30651093;0;22.36814117;;
1719335281803;2024-06-26 00:08:01;400;0;464;29.20196533;90.05279541;0;31.86831856;2.317328691;32.30651093;0;22.2543354;;
1719335361737;2024-06-26 00:09:21;400;0;465;29.19662476;90.11383057;0;31.97766304;2.317328691;32.30651093;0;21.8926239;;
1719335441680;2024-06-26 00:10:41;400;0;465;29.20196533;90.17028809;0;31.97766304;2.317328691;32.30651093;0;21.84684563;;
1719335521613;2024-06-26 00:12:01;400;0;463;29.20463562;90.14892578;0;31.86831856;2.317328691;32.30651093;0;21.68033028;;
1719335601545;2024-06-26 00:13:21;400;0;456;29.22599792;90.04058838;0;31.97766304;2.317328691;32.30651093;0;21.32626915;;
1719335681488;2024-06-26 00:14:41;400;0;456;29.22599792;90.04058838;0;31.97766304;2.317328691;32.30651093;0;21.96015167;;
1719335761431;2024-06-26 00:16:01;400;0;443;29.17259216;89.91241455;0;31.97766304;1.521188021;32.30651093;0;22.05244446;;
1719335841363;2024-06-26 00:17:21;400;0;447;29.19662476;89.83917236;0;31.86831856;1.521188021;32.41640091;0;21.84684563;;
1719335921304;2024-06-26 00:18:41;400;0;449;29.19662476;89.94903564;0;31.86831856;2.317328691;32.30651093;0;21.78761101;;
1719336001236;2024-06-26 00:20:01;400;0;446;29.23400879;90.04211426;0;31.86831856;2.317328691;32.30651093;0;21.75545502;;
1719336081176;2024-06-26 00:21:21;400;0;454;29.21798706;90.15655518;0;31.86831856;1.521188021;32.30651093;0;22.29478645;;
1719336161118;2024-06-26 00:22:41;400;0;459;29.20463562;90.07415771;0;31.86831856;2.317328691;32.30651093;0;21.93310928;;
1719336241042;2024-06-26 00:24:01;400;0;463;29.19395447;90.08636475;0;31.86831856;2.317328691;32.30651093;0;21.25736427;;
1719336320983;2024-06-26 00:25:20;400;0;461;29.17793274;90.13977051;0;31.97766304;3.113469362;32.30651093;0;21.83879852;;
1719336400914;2024-06-26 00:26:40;400;0;479;29.13787842;90.05432129;0;31.86831856;2.317328691;32.30651093;0;21.25213623;;
1719336480847;2024-06-26 00:28:00;400;0;469;29.19128418;90.11383057;0;31.86831856;2.317328691;32.30651093;0;22.23204994;;
1719336560795;2024-06-26 00:29:20;400;0;476;29.15924072;90.35339355;0;31.86831856;3.113469362;32.30651093;0;21.86546135;;
1719336640729;2024-06-26 00:30:40;400;0;483;29.12719727;90.66772461;0;31.86831856;3.113469362;32.30651093;0;21.67499924;;
1719336720656;2024-06-26 00:32:00;400;0;502;29.12452698;90.85388184;0;31.75910568;3.113469362;32.19675827;0;21.41374016;;
1719336800592;2024-06-26 00:33:20;400;0;491;29.08180237;91.10870361;0;31.75910568;3.113469362;32.19675827;0;21.74741745;;
1719336880528;2024-06-26 00:34:40;400;0;486;29.11117554;91.44287109;0;31.86831856;3.909610033;32.19675827;0;21.9331398;;
1719336960468;2024-06-26 00:36:00;400;0;491;29.08447266;91.51000977;0;31.65002441;3.909610033;32.19675827;0;22.04428673;;
1719337040396;2024-06-26 00:37:20;400;0;482;29.05776978;91.68243408;0;31.75910568;3.909610033;32.19675827;0;21.7661705;;
1719337120325;2024-06-26 00:38:40;400;0;492;29.03106689;91.76483154;0;31.65002441;3.113469362;32.19675827;0;21.96557808;;
1719337200273;2024-06-26 00:40:00;400;0;488;29.00436401;91.97998047;0;31.75910568;3.909610033;32.19675827;0;22.18523216;;
1719337280213;2024-06-26 00:41:20;400;0;488;29.03640747;92.32177734;0;31.75910568;3.909610033;32.08714294;0;21.75813103;;
1719337360132;2024-06-26 00:42:40;400;0;493;29.03373718;92.47436523;0;31.65002441;3.909610033;32.08714294;0;22.07967758;;
1719337440072;2024-06-26 00:44:00;400;0;485;29.02572632;92.61322021;0;31.75910568;3.113469362;32.19675827;0;21.98456001;;
1719337520001;2024-06-26 00:45:20;400;0;482;28.98834229;92.58575439;0;31.75910568;3.113469362;32.08714294;0;21.99538231;;
1719337599941;2024-06-26 00:46:39;400;0;481;28.99368286;92.68341064;0;31.65002441;3.113469362;32.19675827;0;22.45033836;;
1719337679872;2024-06-26 00:47:59;400;0;472;29.01237488;92.59338379;0;31.65002441;2.317328691;32.08714294;0;21.9466362;;
1719337759801;2024-06-26 00:49:19;400;0;472;29.00970459;92.68341064;0;31.65002441;2.317328691;32.08714294;0;23.1680069;;
1719337839741;2024-06-26 00:50:39;400;0;464;28.9616394;92.66815186;0;31.75910568;2.317328691;32.08714294;0;23.00686264;;
1719337919691;2024-06-26 00:51:59;400;0;471;28.95362854;92.84973145;0;31.65002441;2.317328691;32.08714294;0;22.6376133;;
1719337999622;2024-06-26 00:53:19;400;0;479;28.93493652;92.7520752;0;31.54107666;2.317328691;31.97766304;0;22.62646866;;
1719338079552;2024-06-26 00:54:39;400;0;484;28.98033142;92.88482666;0;31.65002441;2.317328691;32.08714294;0;22.90657806;;
1719338159502;2024-06-26 00:55:59;400;0;478;28.98300171;92.95501709;0;31.65002441;2.317328691;32.08714294;0;22.35486984;;
1719338239433;2024-06-26 00:57:19;400;0;480;28.94294739;92.85736084;0;31.65002441;2.317328691;32.08714294;0;23.04383659;;
1719338319383;2024-06-26 00:58:39;400;0;479;28.94561768;92.91381836;0;31.54107666;2.317328691;31.97766304;0;22.41501236;;
1719338399313;2024-06-26 00:59:59;400;0;472;28.9402771;93.04656982;0;31.65002441;3.113469362;32.08714294;0;22.27791405;;
1719338479254;2024-06-26 01:01:19;400;0;469;28.98834229;93.00994873;0;31.65002441;3.113469362;32.08714294;0;22.2834053;;
1719338559186;2024-06-26 01:02:39;400;0;468;28.99635315;92.98248291;0;31.65002441;2.317328691;32.08714294;0;22.54938698;;
1719338639126;2024-06-26 01:03:59;400;0;458;28.96965027;92.92755127;0;31.75910568;2.317328691;32.08714294;0;22.01445198;;
1719338719064;2024-06-26 01:05:19;400;0;454;28.98300171;92.87872314;0;31.65002441;2.317328691;32.08714294;0;22.54105759;;
1719338798991;2024-06-26 01:06:38;400;0;461;28.96965027;92.68951416;0;31.65002441;2.317328691;31.97766304;0;21.93853569;;
1719338878936;2024-06-26 01:07:58;400;0;475;28.9616394;92.61322021;0;31.65002441;3.113469362;32.08714294;0;21.67233849;;
1719338958866;2024-06-26 01:09:18;400;0;472;28.99101257;92.50946045;0;31.65002441;3.113469362;32.08714294;0;22.72048759;;
1719339038805;2024-06-26 01:10:38;400;0;467;29.00970459;92.12646484;0;31.65002441;2.317328691;32.08714294;0;22.4377079;;
1719339118732;2024-06-26 01:11:58;400;0;477;28.99635315;91.86096191;0;31.65002441;2.317328691;32.08714294;0;23.04397583;;
1719339198661;2024-06-26 01:13:18;400;0;474;28.94294739;91.63360596;0;31.65002441;1.521188021;32.08714294;0;23.40293503;;
1719339278589;2024-06-26 01:14:38;400;0;472;28.9402771;91.45965576;0;31.65002441;1.521188021;31.97766304;0;22.80918121;;
1719339358538;2024-06-26 01:15:58;400;0;459;28.9402771;91.5222168;0;31.65002441;1.521188021;32.08714294;0;22.54105759;;
1719339438458;2024-06-26 01:17:18;400;0;469;28.91891479;91.31011963;0;31.65002441;1.521188021;31.97766304;0;22.30028152;;
1719339518397;2024-06-26 01:18:38;400;0;483;28.90022278;91.41387939;0;31.65002441;1.521188021;31.97766304;0;22.36814117;;
1719339598336;2024-06-26 01:19:58;400;0;466;28.89755249;91.79077148;0;31.54107666;1.521188021;31.97766304;0;22.69715691;;
1719339678256;2024-06-26 01:21:18;400;0;475;28.88954163;92.22564697;0;31.65002441;2.317328691;31.97766304;0;22.11730194;;
1719339758205;2024-06-26 01:22:38;400;0;471;28.90556335;92.19055176;0;31.54107666;2.317328691;31.97766304;0;22.46139526;;
1719339838134;2024-06-26 01:23:58;400;0;476;28.89221191;92.12799072;0;31.65002441;1.521188021;31.97766304;0;22.60100555;;
1719339918064;2024-06-26 01:25:18;400;0;460;28.87084961;92.05627441;0;31.65002441;1.521188021;31.97766304;0;22.40728569;;
1719339997993;2024-06-26 01:26:37;400;0;461;28.84414673;92.03186035;0;31.54107666;1.521188021;31.97766304;0;22.67196274;;
1719340077933;2024-06-26 01:27:57;400;0;471;28.82545471;92.06542969;0;31.54107666;1.521188021;31.97766304;0;22.6487751;;
1719340157873;2024-06-26 01:29:17;400;0;477;28.90556335;92.20581055;0;31.54107666;2.317328691;31.97766304;0;23.35217667;;
1719340237803;2024-06-26 01:30:37;400;0;476;28.86817932;92.38586426;0;31.54107666;3.113469362;31.97766304;0;21.43746376;;
1719340317743;2024-06-26 01:31:57;400;0;475;28.87886047;92.31567383;0;31.54107666;2.317328691;31.86831856;0;22.08240509;;
1719340397691;2024-06-26 01:33:17;400;0;463;28.87619019;92.07000732;0;31.65002441;3.113469362;31.97766304;0;21.78472328;;
1719340477612;2024-06-26 01:34:37;400;0;482;28.8494873;91.65344238;0;31.54107666;3.113469362;31.97766304;0;21.08357239;;
1719340557553;2024-06-26 01:35:57;400;0;457;28.85482788;91.33148193;0;31.54107666;3.113469362;31.97766304;0;21.25736427;;
1719340637494;2024-06-26 01:37:17;400;0;465;28.83346558;91.04003906;0;31.54107666;2.317328691;31.97766304;0;21.24082184;;
1719340717432;2024-06-26 01:38:37;400;0;465;28.7827301;91.13769531;0;31.54107666;2.317328691;31.86831856;0;21.7067337;;
